title_processed,abstract_processed
an abundance of invariant polynomials satisfying the riemann hypothesis,in 1999 iwan duursma defined the zeta function for a linear_code as a generating function of its hamming_weight enumerator it can also be defined for other homogeneous polynomials not corresponding to existing codes if the homogeneous polynomial is invariant under the macwilliams transform then its zeta function satisfies a functional equation and we can formulate an analogue of the riemann hypothesis as far as existing codes are concerned the riemann hypothesis is believed to be closely related to the extremal property in this article we show there are abundant polynomials invariant by the macwilliams transform which satisfy the riemann hypothesis the proof is carried out by explicit construction of such polynomials to prove the riemann hypothesis for a certain class of invariant polynomials we establish an analogue of the enestromkakeya theorem
entity resolution with iterative blocking,entity resolution er is the problem of identifying which records in a database refer to the same realworld entity an exhaustive er process involves computing the similarities between pairs of records which can be very expensive for large datasets various blocking techniques can be used to enhance the performance of er by dividing the records into blocks in multiple ways and only comparing records within the same block however most blocking techniques process blocks separately and do not exploit the results of other blocks in this paper we propose an  iterative blocking framework  where the er results of blocks are reflected to subsequently processed blocks blocks are now iteratively processed until no block contains any more matching records compared to simple blocking iterative blocking may achieve higher accuracy because reflecting the er results of blocks to other blocks may generate additional record matches iterative blocking may also be more efficient because processing a block now saves the processing time for other blocks we implement a scalable iterative blocking system and demonstrate that iterative blocking can be more accurate and efficient than blocking for large datasets
evaluating the accuracy of java profilers,performance analysts profile their programs to find methods that are worth optimizing the hot methods this paper shows that four commonlyused java profilers  xprof  hprof  jprofile and yourkit  often disagree on the identity of the hot methods if two profilers disagree at least one must be incorrect thus there is a good chance that a profiler will mislead a performance analyst into wasting time optimizing a cold method with little or no performance improvement   this paper uses causality analysis to evaluate profilers and to gain insight into the source of their incorrectness it shows that these profilers all violate a fundamental requirement for sampling based profilers to be correct a samplingbased profilermust collect samples randomly   we show that a proofofconcept profiler which collects samples randomly does not suffer from the above problems specifically we show using a number of case studies that our profiler correctly identifies methods that are important to optimize in some cases other profilers report that these methods are cold and thus not worth optimizing
robust groupofpicture architecture for video_transmission over errorprone channels,in motioncompensated videocoding schemes such as mpeg an i frame is normally followed by several p frames and possibly b frames in a groupofpicture gop in errorprone environments errors happening in the previous frames in a gop may propagate to all the following frames until the next i frame which is the beginning of the next gop in this paper we propose a novel gop structure for robust transmission of mpeg video bitstream by selecting the optimal position of the i frame in a gop robustness can be achieved without reducing any coding_efficiency experimental results demonstrate the robustness of the proposed gop structure
useful computations need useful numbers,most of us have taken the exact rational and approximate numbers in our computer algebra systems for granted for a long time not thinking to ask if they could be significantly better with exact rational arithmetic and adjustableprecision floatingpoint arithmetic to precision limited only by the total computer memory or our patience what more could we want for such numbers it turns out that there is much more that can be done that permits us to obtain exact results more often more intelligible results approximate results guaranteed to have requested error bounds and recovery of exact results from approximate ones
fast content aware image retargeting,this paper addresses the problem of retargeting namely adapting large source_images for effective viewing at a smaller size with possible applications to pdas or dynamic page layouts instead of extracting regions of interest for retargeting the uninteresting parts are removed from the scene in shai avidan and shamir a 2007 this is done by computing the rgb variance within nonoverlapping 3times3 blocks and removing the block path with minimal variance cost using dynamic programming it is shown that transformation to cielab space is more effective for visual interpretation of image content the implementations are shown to be much faster than the seam carving approach of shai avidan and shamir a 2007 schemes are also presented for speeding up the seam carving scheme itself
scaddar an efficient randomized technique to reorganize continuous media blocks,scalable storage architectures allow for the addition of disks to increase storage capacity andor bandwidth in its general form disk scaling also refers to disk removals when either capacity needs to be conserved or old disk drives are retired assuming random placement of blocks on multiple nodes of a continuous media server our optimization objective is to redistribute a minimum number of media blocks after disk scaling this objective should be met under two restrictions first uniform distribution and hence a balanced load should be ensured after redistribution second the redistributed blocks should be retrieved at the normal mode of operation in one disk access and through low complexity computation we propose a technique that meets the objective while we prove that it also satisfies both restrictions the scaddar approach is based on using a series of remap functions which can derive the location of a new block using only its original location as a basis
importance sampling in markovian settings,rare event simulation for stochastic_models of complex systems is still a great challenge even for markovian models we review results in importance sampling for markov_chains provide new viewpoints and insights and we pose some future research directions
identification of coldinduced genes in cereal crops and arabidopsis through comparative analysis of multiple est sets,freezing tolerance in plants is obtained during a period of low nonfreezing temperatures before the winter sets on through a biological process known as cold acclimation cold is one of the major stress factors that limits the growth productivity and distribution of plants and understanding the mechanism of cold tolerance is therefore important for crop improvement expressed sequence tags est analysis is a powerful economical and timeefficient way of assembling information on the transcriptome to date several est sets have been generated from coldinduced cdna libraries from several different plant species in this study we utilize the variation in the frequency of ests sampled from different coldstressed plant libraries in order to identify genes preferentially expressed in cold in comparison to a number of control sets the species included in the comparative study are oat avena sativa barley hordeum vulgare wheat triticum aestivum rice oryza sativa and arabidopsis thaliana however in order to get comparable gene expression estimates across multiple species and data sets we choose to compare the expression of tentative ortholog groups togs instead of single genes as in the normal procedure we consider togs as preferentially expressed if they are detected as differentially expressed by a test statistic and upregulated in comparison to all control sets andor uniquely expressed during cold stress ie not present in any of the control sets the result of this analysis revealed a diverse representation of genes in the different species in addition the derived togs mainly represent genes that are longterm highly or moderately expressed in response to cold andor other stresses
realtime distributed_computing,this position paper concerns itself with realtime safety critical distributed_systems it presents a computational model that is appropriate for this type of application and architecture it then defines a resource allocations scheme based upon fixed_priority_scheduling such a scheme has the advantage over purely static schedules of supporting greater levels of flexibility and nondeterminism whilst still providing static guarantees of necessary timing behaviour ie endtoend deadlines through the systems priority based communication_protocols are investigated with possible future techniques reviewed
on the impact of using volume as an independent variable for the solution of pt fluidphase equilibrium with equations of state,a b s t r a c t the constant pressuretemperature pt flash plays an important role in the modelling of fluidphase behaviour and its solution is especially challenging for equations of state in which the volume is expressed as an implicit function of the pressure we explore the relative merits of solving the pt flash in two ensembles mole numbers pressure and temperature in which each freeenergy evaluation requires the use of a numerical solver and mole numbers volume and temperature in which a direct evaluation of the freeenergy is possible we examine the performance of two algorithms held helmholtz free energy lagrangian dual introduced in pereira et al 2012 and gild gibbs free energy lagrangian dual introduced here for the fluidphase equilibria of 8 mixtures comprising up to 10 components using two equations of state while the reliability of both algorithms is comparable the computational cost of held is consistently lower this difference becomes increasingly pronounced as the number of components is increased  2014 the authors published by elsevier ltd this is an open_access article under the cc by license
semantic processing of natural_language_queries in the ontonl framework,the ontonl framework provides an architecture and reusable_components for automating as much as possible the building of natural_language_interfaces to information_systems in addition to the syntactic_analysis components ontonl has semantic_analysis components which exploit domain_ontologies to provide better disambiguation of the user input we present in this paper the algorithms used for semantic processing of the natural_language_queries as well as an ontologydriven semantic_relatedness measure developed for this purpose we also present extensive evaluation results with different ontologies using human subjects
a comparison of linear keyword and restricted natural_language data base interfaces for novice users,this study compares a linear keyword language interface and a restricted natural_language_interface for data retrieval by a novice user the comparison focuses on the effect of different data base interfaces on user performance as measured by query correctness and query writing time in a query writing task across varying query types and training levels to accomplish this objective a laboratory experiment was conducted using a splitplot factorial design using two betweensubjects factors and one withinsubjects factor the results indicate that the restricted natural_language subjects performed significantly better than the linear keyword language subjects in terms of both query correctness and query writing time
reactive virtual positionbased routing in wireless_sensor_networks,virtual positionbased routing_protocols have many attractive characteristics for wireless_sensor_networks typically such protocols use a proactive scheme for updating routing tables because sensor_networks can have very low data rate sending periodic beacons to update routing tables can be very expensive instead reactive approaches might be more appropriate in such scenarios manetinspired reactive routing_protocols do not scale well because of the effort in the order of on for each routing_information update in this paper we present reactive virtual cord protocol rvcp a datacentric reactive virtual position based routing_protocol for use in sensor_networks route_discovery is directed towards the destination and hence there is no need to flood the entire network to discover a route our approach is based on virtual cord protocol vcp an efficient virtual relative position based routing_protocol that also provides support for data_management as known from typical distributed_hash_table dht services to minimize the endtoend delay and energy consumption we used adaptive techniques for the development of rvcp
a note on the complexity of scheduling coupled tasks on a single processor,this paper considers a problem of coupled task_scheduling on one processor where all processing times are equal to 1 the gap has exact length h precedence constraints are strict and the criterion is to minimise the schedule length this problem is introduced eg in systems controlling radar operations we show that the general problem is nphard
novel weightingdelaybased stability_criteria for recurrent_neural_networks with timevarying delay,in this paper a weightingdelaybased method is developed for the study of the stability_problem of a class of recurrent_neural_networks rnns with timevarying delay different from previous results the delay interval 0 dt is divided into some variable subintervals by employing weighting delays thus new delaydependent stability_criteria for rnns with timevarying delay are derived by applying this weightingdelay method which are less conservative than previous results the proposed stability_criteria depend on the positions of weighting delays in the interval 0 dt which can be denoted by the weightingdelay parameters different weightingdelay parameters lead to different stability margins for a given system thus a solution based on optimization_methods is further given to calculate the optimal weightingdelay parameters several examples are provided to verify the effectiveness of the proposed criteria
crosslanguage information_retrieval,search for information is no longer exclusively limited within the native language of the user but is more and more extended to other languages this gives rise to the problem of crosslanguage information_retrieval clir whose goal is to find relevant information written in a different language to a query in addition to the problems of monolingual information_retrieval ir translation is the key problem in clir one should translate either the query or the documents from a language to another however this translation problem is not identical to fulltext machine_translation mt the goal is not to produce a humanreadable translation but a translation suitable for finding relevant documents specific translation methods are thus required the goal of this book is to provide a comprehensive description of the specifi c problems arising in clir the solutions proposed in this area as well as the remaining problems the book starts with a general description of the monolingual ir and clir problems different classes of approaches to translation are then presented approaches using an mt system dictionarybased translation and approaches based on parallel and comparable corpora in addition the typical retrieval_effectiveness using different approaches is compared it will be shown that translation approaches specifically designed for clir can rival and outperform highquality mt systems finally the book offers a look into the future that draws a strong parallel between query_expansion in monolingual ir and query_translation in clir suggesting that many approaches developed in monolingual ir can be adapted to clir the book can be used as an introduction to clir advanced readers can also find more technical details and discussions about the remaining research challenges in the future it is suitable to new researchers who intend to carry out research on clir
best case energy analysis of localized euclidean minimum_spanning_tree based multicasting in ad hoc and sensor_networks,i consider the known localized multicast_protocol msteam and derive the energy consumed by the multicast_tree constructed by this protocol in the best case moreover i show that the length of multicast links connecting into a multicast branch can not be bounded from above for typical wireless_networks where links have a limited communication range however i can show that asymptotically the relation between the derived best case energy consumption of msteam and a known lower bound on multicast energy consumption is limited by a factor of 2
dqainf an algorithm for automatic integration of infinite oscillating tails,we describe an automatic quadrature routine which is specifically designed for real functions having a certain type of infinite oscillating tails the algorithm is designed to integrate a vector function over an infinite interval a fortran implementation of the algorithm is included
an interoperability framework for paneuropean egovernment services pegs,interoperability between public administrations receives nowadays a lot of attention also in the european union interworking is high on the priority list but the challenges to achieve the european administrative space is enormous many research projects are undertaken especially in the domain of semantic_interoperability many of these efforts seem to start from a technical solution rather than from an actual business problem by taking a narrow view on the problem space they only promise limited support for the many challenges in the domain of interoperability and innovation of egovernment services in this paper we present a business driven approach that looks promising in enabling entire classes of interoperability solutions
performance optimization of interferencelimited multihop_networks,the performance of a multihop_wireless_network is typically affected by the interference caused by transmissions in the same network in a statistical fading environment the interference effects become harder to predict information sources in a multihop_wireless_network can improve throughput and delay performance of data_streams by implementing interferenceaware packet injection mechanisms forcing packets to wait at the head of queues and coordinating packet injections among different sources enable effective control of copacket interference in this paper throughput and delay performance in interferencelimited multihop_networks is analyzed using nonlinear probabilistic hopping models waiting times which jointly optimize throughput and delay performances are derived optimal coordinated injection strategies are also investigated as functions of the number of information sources and their separations the resulting analysis demonstrates the interaction of performance constraints and achievable capacity in a wireless multihop network
action reaction learning automatic visual_analysis and synthesis of interactive behaviour,we propose actionreaction learning as an approach for analyzing and synthesizing human_behaviour this paradigm uncovers causal mappings between past and future events or between an action and its reaction by observing time sequences we apply this method to analyze human interaction and to subsequently synthesize human_behaviour using a time series of perceptual measurements a system automatically discovers correlations between past gestures from one human participant action and a subsequent gesture reaction from another participant a probabilistic_model is trained from data of the human interaction using a novel estimation technique conditional expectation maximization cem the estimation uses general bounding and maximization to monotonically find the maximum conditional likelihood solution the learning system drives a graphical interactive character which probabilistically predicts a likely response to a users behaviour and performs it interactively thus after analyzing human interaction in a pair of participants the system is able to replace one of them and interact with a single remaining user
circuit delay models and their exact computation using timed boolean_functions,we propose a general circuit delay model that unifies all previous delay models eg floating viability and transition delays and models introduced in this paper eg delays by sequences of vectors and minimum delays then we formulate the computation of the exact circuit delays under both bounded and unbounded gate delay models as a mixed boolean linear programming using a new formulation technique called timed boolean_function next we compute the exact delays of combinational_circuits for transition delay and delay by sequences of vectors we show that delays by sequences of vectors and floating or viability delays are invariant under both bounded and unbounded gate delay models finally we address the effect of gate delay lower bounds on delays of circuits we demonstrate the effectiveness of the method by giving exact delay results for all iscas benchmark_circuits except c6188
an anisotropic evolution formulation applied in 2d unwrapping of discontinuous phase surfaces,in this paper a new method to reconstruct piecewise continuous phase estimates using inphase and quadrature components acquired from interferometry measurements is derived and discussed the method based on the concept of anisotropic evolution formulations is shown to be far less noise sensitive than similar methods operating on modulomapped data ie traditional phase_unwrapping methods the method is able to produce reliable phase estimates from data containing complex sheared structures in combination with high noise content without relying on userdefined weights
a score function of splitting band for twoband speech model,twoband speech model which assumes lower band is a quasiperiodic component and upper band is a nonperiodic component is widely used due to its natural and simple framework in this paper a score function is defined for splitting lower and upper band of twoband speech model and estimation_method of bandsplitting frequency which is the boundary of the two bands is proposed the score function is calculated for each harmonic frequency using the normalized autocorrelation function of the time signal corresponding to the each subband divided by the given frequency by using the score function tracking technique is applied to the bandsplitting frequency_estimation procedure to reflect the continuity between neighboring frames experimental tests confirm that the proposed score function is effective for estimation of the bandsplitting frequency and produces better results compared with the previous other methods
the reliability study of the single hydraulic prop based on finite_element_analysis,in allusion to the reliability which exists in the parametric design and optimizing process of the single hydraulic prop this paper presents the new method in comparison with the traditional calculating and checking method for the reliability the geometry model of the hydraulic prop is built firstly based on the 3d software then analyzed and optimized by the finite element softwareansys results show that the method presented for the reliability is efficient and accurate
the programmable compiler,
fuzzy capacitated locationallocation problem with minimum risk criteria,based on credibility theory a new class of twostage minimum risk locationallocation model is first proposed then we deal with the approximation of the location and allocation problem after that a hybrid_algorithm which integrates the approximation approach neural_network and simulated_annealing is designed to solve the proposed locationallocation problem and a numerical_example is provided to test the effectiveness of the hybrid_algorithm
towards end user service_composition,the popularity of service_oriented_computing soc brings a large number of distributed wellencapsulated and reusable services all over internet and makes it possible to create valueadded services by means of service_composition current composition styles are too professional to those end users when building their own applications actually the end user would prefer rapidly discovering the bestofbreed services to assemble as well as visually personalizing the presentation to enjoy rich experiences we propose an end user service_composition approach for reducing the composition complexity and difficulty from the end user perspective in our approach similar candidate services are aggregated together as a unified resource whose wide qos spectrum can be easily manipulated by the end users to satisfy their requirements then they can personalize the services and the composition occurs only at the presentation layer the main contributions of the approach are i enabling the end users to personalize the composite application with more powerful presentation ii supporting the end users to dynamically customize the service_composition in terms of qos iii alleviating the end users from the timeconsuming task of selecting service to compose
optimal detection of functional connectivity from highdimensional eeg synchrony data,article i nfo computing phaselocking values between eeg_signals is a popular method for quantifying functional connectivity however this method involves largescale highresolution datasets which impose a serious multiple testing problem standard multiple testing methods fail to exploit the information from the complex dependence structure that varies across hypotheses in spectral temporal and spatial dimensions and result in a severe loss of power they tend to control the false positives at the cost of hiding true positives we introduce a new approach called optimal discovery procedure odp for identifying synchrony that is statistically significant odp maximizes the number of true positives for a given number of false positives and thus offers a theoretical optimum for detecting significant synchrony in a multiple testing situation we demonstrate the utility of this method with plv data obtained from a visual search study we also present simulation analysis to confirm the validity and relevance of using odp in comparison with the standard fdr method for given configurations of true synchrony we also compare the effectiveness of odp with our previously published investigation of hierarchical fdr method singh and phillips 2010
starbase v20 decoding mirnacerna mirnancrna and proteinrna interaction networks from largescale clipseq data,although micrornas mirnas other noncoding rnas ncrnas eg lncrnas pseudogenes and circrnas and competing endogenous rnas cernas have been implicated in cellfate determination and in various human diseases surprisingly little is known about the regulatory interaction networks among the multiple classes of rnas in this study we developed starbase v20 httpstarbasesysu educn to systematically identify the rnarna and proteinrna interaction networks from 108 clipseq parclip hitsclip iclip clash data sets generated by 37 independent studies by analyzing millions of rnabinding protein binding sites we identified  9000 mirnacircrna 16 000 mirnapseudogene and 285 000 proteinrna regulatory relationships moreover starbase v20 has been updated to provide the most comprehensive clipseq experimentally supported mirnamrna and mirnalncrna interaction networks to date we identified  10 000 cerna pairs from clipsupported mirna target sites by combining 13 functional genomic annotations we developed mirfunction and cernafunction web_servers to predict the function of mirnas and other ncrnas from the mirnamediated regulatory networks finally we developed interactive web implementations to provide visualization analysis and downloading of the aforementioned largescale data sets this study will greatly expand our understanding of ncrna functions and their coordinated regulatory networks
a low_phase_noise 100mhz silicon baw reference oscillator,the paper presents a temperature compensated 100mhz reference oscillator based on a capacitive silicon bulk acoustic wave baw resonator interfaced with a cmos amplifier the resonator is optimized for high quality factor 92000 and low impedance the cmos ic comprises of a transimpedance amplifier to sustain oscillations and an oven control mechanism for temperature control a phase_noise floor of 136dbchz was measured for the oscillator and the temperature drift of frequency was measured to be 56ppm over 100c
performance bounds for mlsd reception of ofdm_signals in fast fading,for ofdm_systems in fast fading it is difficult to obtain a closed_form expression for the ofdm symbol error probability thus tight analytical bounds on actual performance are extremely useful for performance prediction and verification additionally the structure of the bound provides insight into system behavior a new expurgated 2dimensional union bound is proposed and applied to an ofdm system in fast fading this bound becomes extremely tight as the rate of fading l increases performance comparison of the new bound to a lower bound on a known expurgated union bound demonstrates a gain of up to 15 db at pe  10 2 for channel implicit diversity_order of l  4 a new simulated upper bound that uses a reduced state vector in a modified trellis search algorithm and a simulated lower bound that assumes limited knowledge of the ici are also presented both bounds are derived from a timevarying finite_state_machine model of the received signal performance results for these bounds are extremely tight for small to large values of n where n is the number of ofdm_signal tones also the reduction in computational complexity achieved for n  512 is from 2 512  to 2 6  for both bounds
creating gisbased spatial interaction models for retail centres in jeddah city,spatial interaction models are used today in facilities planning research for predicting and for allocating flows of demand between origin and destination areas based on the attractiveness of each facility and based on the distance between facilities and demand areas these models have been adapted to a wide range of application areas including predicting flows of people to shops offices schools and hospitals the aim of this paper is to use gis for producing spatial interaction models for two retail centres jeddah city saudi arabia these models are created using arcgis software and using the interaction function which is available within the network_analysis module to produce these models detailed geodatabase was created that covers location of retail centres the capacity of each centre the size of centres demand at the study area and road network coverage for jeddah city the created models can be used by city planners for identifying areas of the city that are poorly served by existing retail centres in addition these models can be used to define the impacts of expanding retail supply and or retail demand at the study area
surface models of tube trees,this paper describes a new method for generating surfaces of branching tubular structures with given centerlines and radii as the centerlines are not straight lines the crosssections are not parallel and wellknown algorithms for surface tiling from parallel crosssections cannot be used nonparallel crosssections can be tiled by means of the maximaldisc interpolation method special methods for branchingstructures modeling by means of convolution surfaces produce excellent results but these methods are more complex than our approach the proposed method tiles nonparallel circular crosssections and constructs a topologicallycorrect surface mesh the method is not artifactfree but it is fast and simple the surface mesh serves as a data representation of a vessel tree suitable for realtime virtual_reality operation planning and operation support within a medical application proposed method extracts a classical polygonal representation which can be used in common surfaceoriented graphic accelerators
nodetoset disjointpath routing in metacube,the metacube interconnection_network introduced a few years ago has some very interesting properties it has a short diameter similar to the hypercube and its degree is much lower than that of a hypercube of the same size in this paper we describe an efficient_algorithm for finding disjoint_paths between one source node and at most mk target nodes in a metacube mck m excluding mc1 mc22 mc32 and mc33 we show that we can find mk disjoint_paths between the source node and the mk targets of length at most metacube diameter plus k4 with time complexity of order of metacube degree times its diameter
systematic error in the organization of physical action,current views of the control of complex purposeful movements acknowledge that organizational processes must reconcile multiple concerns the central priority is of course accomplishing the actors goal but in specifying the manner in which this occurs the action plan must accommodate such factors as the interaction of mechanical forces associated with the motion of a multilinked system classical mechanics and in many cases intrinsic bias toward preferred movement patterns characterized by socalled coordination dynamics the most familiar example of the latter is the symmetry constraint where spatial trajectories andor temporal landmarks eg reversal points of concurrentlymoving body segments limbs digits etc exhibit mutual attraction the natural coordination tendencies that emerge through these constraints can facilitate or hinder motor control depending on the degree of congruency with the desired movement pattern motor control theorists have long recognized the role of classical mechanics in theories of movement organization but an appreciation of the importance of intrinsic interlimb bias has been gained only recently although detailed descriptions of temporal coordination dynamics have been provided systematic attempts to identify additional salient dimensions of interlimb constraint have been lacking we develop and implement here a novel method for examining this problem by exploiting two robust principles of psychomotor behavior the symmetry constraint and the twothirds power law empirical evidence is provided that the relative spatial patterns of concurrently moving limbs are naturally constrained in much the same manner as previously identified temporal constraints and further that apparent velocity interference is an indirect secondary consequence of primary spatial assimilation the theoretical implications of spatial interference are elaborated with respect to movement organization and motor learning the need to carefully consider the appropriate dimensions with which to characterize coordination dynamics is also discussed  2001 cognitive_science
modeling the performance of evolutionary_algorithms on the root identification problem a case study with pbil and chc algorithms,the availability of a model to measure the performance of evolutionary_algorithms is very important especially when these algorithms are applied to solve problems with high computational requirements that model would compute an index of the quality of the solution reached by the algorithm as a function of runtime conversely if we fix an index of quality for the solution the model would give the number of iterations to be expected in this work we develop a statistical_model to describe the performance of pbil and chc evolutionary_algorithms applied to solve the root identification problem this problem is basic in constraintbased geometric parametric modeling as an instance of general constraintsatisfaction problems the performance model is empirically validated over a benchmark with very large search spaces
towards a probabilistic calculus for mobile_ad_hoc_networks,in this paper we present a probabilistic calculus for formally modeling and reasoning about mobile_ad_hoc_networks manets with unreliable connections and mobility of nodes in our calculus a manet node can locally broadcast messages to a group of nodes within its physical transmission_range the group probability is also introduced since two distinct nodes within different groups should receive messages from the same sender with different possibilities our calculus naturally captures essential features of manets ie local broadcast mobility and probability moreover we give a formal operational_semantics of the calculus in terms of the labeled transition_system and define the notion of open bisimulation finally we illustrate our calculus with a toy example
slow motion replay of video sequences using fractal zooming,slow motion replay is a special effect used in the video entertainment field it consists in a presentation of a video scene at a rate display lower than the original already consolidated as a commercial feature of analog video players today slow motion is likely to be extended to the digital environment purpose of this paper is to present a technique combining fractals i f s and wavelets to obtain a subjectively pleasant zoom and slow motion of digital_video sequences active scene detection and post processing techniques are used to reduce computational cost and improve visual_quality respectively this study shows that the proposed technique produces better results than the state of the art techniques based either on data replication or classical interpolation
