Label,Frequency
guaranteed cost control,1
stochastic neural network,1
stochastic neural networks,1
networked control systems,1
networked control system,1
management science,1
business rules,1
business intelligence,1
service management,1
natural language processing systems,1
text processing,1
word processing,1
electronic document,1
word sense disambiguation,1
text mining,1
biomedical literature,1
document clustering,1
opinion mining,1
product reviews,1
product feature,1
sentiment classification,1
text summarization,1
term frequency,1
text classification,1
text categorization,1
text detection,1
text region,1
text lines,1
text entry,1
virtual keyboards,1
virtual keyboard,1
sentiment analysis,1
computer aided language translation,1
translation models,1
translation quality,1
statistical machine translation,1
parallel corpora,1
target language,1
word segmentation,1
string matching,1
information extraction,1
speech transmission,1
word error rate,1
large vocabulary continuous speech recognition,1
machine translation systems,1
machine translations,1
machine translation,1
computational grammars,1
grammatical inferences,1
grammatical inference,1
graph grammar,1
graph grammars,1
natural language processing,1
unified medical language system,1
unified medical language systems,1
abstracting and indexing,1
part of speech,1
pos tagging,1
part of speech tagging,1
part-of-speech tagging,1
natural languages,1
natural language interfaces,1
natural language interface,1
natural language,1
named entity recognition,1
named entities,1
named entity,1
question answering,1
question answering systems,1
question answering system,1
maximum entropy models,1
maximum entropy model,1
nlp,1
cross-language information retrieval,1
query translation,1
query translations,1
cross language information retrieval,1
computing with words,1
computing with word (cww),1
dialogue systems,1
dialogue management,1
spoken dialogue system,1
spoken dialogue systems,1
semantic relatedness,1
semantic similarity,1
semantic similarity measures,1
dependency parser,1
dependency parsing,1
computational linguistics,1
translation (languages),1
flame resistance,1
deterministic finite automata,1
hybrid automatons,1
deterministic automata,1
cellular automata models,1
ca model,1
cellular automaton,1
reachability analysis,1
number of state,1
turing machines,1
turing machine,1
syntactics,1
abstract syntax,1
haskell,1
functional programs,1
meta programming,1
meta-programming,1
continuous speech recognition,1
pitch detection,1
spoken language processing,1
unit selection,1
acoustic features,1
emotional speech,1
speech data,1
speech corpora,1
discriminative training,1
stereophonic broadcasting,1
speaker adaptation,1
noisy speech,1
language modeling,1
language model,1
language models,1
modeling languages,1
modeling language,1
reversible logic,1
finite automata,1
sequential machines,1
conformance testing,1
deep packet inspection,1
finite state machines,1
contour followers,1
finite state machine,1
sequential circuits,1
test generations,1
model based testing,1
model-based testing,1
test vectors,1
fault coverage,1
fault coverages,1
test generation,1
benchmark circuit,1
test data compression,1
test application time,1
regular expressions,1
regular expression,1
context free languages,1
context-free languages,1
query logs,1
query expansion,1
javascript,1
html5,1
high level languages,1
c++,1
functional languages,1
prolog (programming language),1
program interpreters,1
abstract interpretations,1
abstract interpretation,1
vocabulary control,1
handwriting recognition,1
handwritten texts,1
hand-written characters,1
hand written character recognition,1
non-monotonic reasoning,1
default reasoning,1
default logic,1
nonmonotonic reasoning,1
equivalence classes,1
equivalence relations,1
equivalence relation,1
latent variable,1
latent variables,1
equivalence class,1
conditional random fields (crfs),1
conditional random field,1
conditional random fields,1
semantic features,1
semantic descriptions,1
semantic service,1
semantic gap,1
semantic concept,1
ontology matching,1
ontology alignment,1
web 2.0,1
folksonomy,1
collaborative tagging,1
tag recommendations,1
tag recommendation,1
social tagging,1
folksonomies,1
wiki,1
social web,1
social webs,1
user-generated content,1
user generated content,1
linked data,1
multi-view,1
multiview video,1
multiview video coding,1
multi-view video coding,1
multi-view video,1
3d video,1
3-d videos,1
auto-stereoscopic display,1
autostereoscopic display,1
3-d displays,1
stereoscopic display,1
stereoscopic displays,1
3d display,1
multi-views,1
web2.0,1
rdf,1
resource description framework,1
resource description framework (rdf),1
personalized service,1
personalized services,1
user profile,1
user profiles,1
knowledge base,1
rule base,1
knowledge bases,1
semantic web services,1
web service discovery,1
semantic interoperability,1
semantic web applications,1
semantic web,1
semantic web technologies,1
semantic technologies,1
semantic web technology,1
semantic technology,1
semantic wikis,1
semantic wiki,1
semantic annotations,1
semantic annotation,1
semantic analysis,1
semantic information,1
semantic relationships,1
semantic relations,1
domain specific modeling,1
domain-specific modeling,1
propositional logic,1
formal logic,1
boolean algebra,1
boolean networks,1
boolean network,1
program verification,1
post-conditions,1
formal methods,1
event-b,1
csp,1
formal specification,1
formal specifications,1
formal model,1
formal models,1
safety critical systems,1
safety-critical systems,1
reactive systems,1
reactive system,1
model checking,1
model checker,1
model-driven engineering,1
model driven engineering,1
web engineering,1
model transformation,1
model driven development,1
model-driven development,1
platform independent model,1
platform-independent model,1
model transformations,1
interleavings,1
product line,1
product lines,1
spin,1
symbolic execution,1
transition system,1
transition systems,1
run-time verification,1
runtime verification,1
temporal properties,1
temporal property,1
real time systems,1
real-time tasks,1
worst-case execution time,1
timing analysis,1
timing devices,1
statistical timing analysis,1
uml profile,1
uml profiles,1
distributed scheduling,1
real-time rendering,1
real time scheduling,1
real-time scheduling,1
schedulability analysis,1
schedulability,1
real-time application,1
real-time applications,1
real-time operating systems,1
real time operating system,1
real-time operating system,1
cyber-physical system,1
cyber-physical systems (cps),1
cyber physical systems (cpss),1
cyber-physical systems,1
hard real-time systems,1
hard real-time,1
real-time java,1
system architectures,1
system architecture,1
design space exploration,1
system level design,1
system-level design,1
very long instruction word architecture,1
software pipelining,1
memory management,1
scada systems,1
supervisory control,1
scada,1
flash translation layer,1
audio systems,1
sound reproduction,1
audio stream,1
affine projection algorithms,1
audio coding,1
teleconferencing,1
dynamic voltage and frequency scaling,1
multiprocessor,1
multiprocessors,1
multi processor systems,1
multiprocessor system,1
real-time systems,1
formal verification,1
theorem provers,1
isabelle,1
isabelle/hol,1
higher order logic,1
higher-order logic,1
formal verifications,1
concurrent programs,1
data races,1
concurrent program,1
concurrent software,1
operational semantics,1
denotational semantics,1
computer operating procedures,1
test case generation,1
java program,1
graph transformation,1
graph transformations,1
temporal logic,1
temporal logics,1
cache coherence protocols,1
device driver,1
device drivers,1
execution trace,1
execution traces,1
model-checking,1
software product line,1
feature modeling,1
software product line engineering,1
software product line engineerings,1
product line engineering,1
feature models,1
feature model,1
variability modeling,1
variability model,1
feature-oriented programming,1
feature-oriented,1
software product lines,1
aspect-oriented programming (aop),1
crosscutting concern,1
aspect oriented software development,1
aspect-oriented software development,1
crosscutting concerns,1
refactorings,1
code clone,1
refactoring,1
aspect-j,1
join point,1
aspect-oriented programming,1
aspect oriented programming,1
formal method,1
linear logic,1
first order logic,1
first-order logic,1
software verification,1
program analysis,1
program slicing,1
functional programming,1
type systems,1
type inferences,1
type inference,1
type system,1
formal concept analysis,1
concept lattices,1
formal contexts,1
formal concepts,1
concept lattice,1
logic programs,1
answer set,1
stable model,1
stable model semantics,1
answer set programming,1
argumentation,1
argumentation frameworks,1
abstract argumentation,1
inductive logic programming,1
inductive logic programming (ilp),1
cognitive systems,1
spectrum sensing,1
probability of detection,1
cyclostationary,1
cyclostationarity,1
opportunistic spectrum access,1
spectrum access,1
energy detection,1
non-coherent,1
cooperative spectrum sensing,1
co-operative spectrum sensing,1
energy detectors,1
primary systems,1
timing jitter,1
fokker-planck equation,1
fokker planck equation,1
fusion center,1
random matrix theory,1
dynamic spectrum access,1
analog differential analyzers,1
dynamic spectrum accesses (dsa),1
man machine systems,1
c-systems,1
human operator,1
teleoperation systems,1
bilateral teleoperation,1
bilateral control,1
human robot interaction,1
social robots,1
emotional expressions,1
emotional expression,1
human-robot interaction,1
human robot interactions,1
human machine interaction,1
human-machine interaction,1
human-machine interfaces,1
human machine interface,1
human-machine interface,1
intelligent robots,1
anthropomorphic robots,1
biped robot,1
zero moment point,1
programmable robots,1
bipedal walking,1
bipedal robot,1
biped robots,1
biped locomotion,1
quadruped robots,1
quadruped robot,1
demonstrations,1
human hands,1
human motions,1
motion data,1
human motion,1
unknown environments,1
laser range finders,1
laser range finder,1
service robots,1
service robot,1
humanoid robotics,1
humanoid robot,1
humanoid robots,1
wall climbing robot,1
mobile manipulator,1
mobile manipulators,1
microrobot,1
micro robots,1
water craft,1
underwater structures,1
underwater ballistics,1
submersible motors,1
underwater environments,1
underwater robots,1
underwater robot,1
robot programming,1
configuration space,1
robot path-planning,1
robot path planning,1
multipurpose robots,1
multiple robot,1
multiple robots,1
multirobots,1
multi-robot,1
multirobot systems,1
swarm robotics,1
multi-robot systems,1
multi-robot system,1
robotic assembly,1
multiple mobile robot,1
multiple mobile robots,1
potential field,1
artificial potential fields,1
artificial potential field,1
potential fields,1
redundant manipulators,1
redundant robot,1
redundant robots,1
redundant manipulator,1
path planning problems,1
path planning method,1
robot applications,1
modular robots,1
self reconfiguration,1
flexible manipulators,1
robot manipulators,1
robot manipulator,1
robotic manipulators,1
robotic manipulator,1
flexible manipulator,1
impedance control,1
motion control,1
position control,1
force control,1
force feedback,1
torque control,1
rotor fluxes,1
direct torque control,1
torque ripples,1
torque ripple,1
direct torque control (dtc),1
universal joints,1
disturbance observer,1
servomechanisms,1
servomotors,1
sliding mode control (smc),1
finite time,1
terminal sliding mode control,1
terminal sliding mode,1
second order sliding modes,1
sliding mode observers,1
sliding mode observer,1
variable structures,1
variable structure,1
integral sliding mode control,1
integral sliding mode,1
adaptive sliding mode control,1
adaptive sliding mode controller,1
underactuated systems,1
under-actuated systems,1
underactuated system,1
sliding modes,1
sliding mode control,1
sliding mode,1
sliding-mode control,1
sliding surface,1
backstepping control,1
variable structure control,1
unscented kalman filter,1
proposal distribution,1
linear motors,1
linear motor,1
end effectors,1
tactile sensing,1
tactile sensor,1
speed control,1
speed regulators,1
control nonlinearities,1
dinger equation,1
path planning,1
path-planning,1
robotic arms,1
robot arms,1
robot arm,1
robotic arm,1
two term control systems,1
electric control equipment,1
fuzzy pid controller,1
electric frequency control,1
load-frequency control,1
press load control,1
load frequency control,1
pid parameters,1
fractional order,1
fractional-order systems,1
fractional calculus,1
fractional differential equations,1
fractional differential equation,1
fuzzy-pid,1
fuzzy pid,1
pi controller,1
disturbance rejection,1
reception quality,1
pid,1
pid control,1
pid controllers,1
iterative learning control,1
iterative learning control (ilc),1
varactors,1
tuning ranges,1
tuning range,1
variable frequency oscillators,1
circuit oscillations,1
low phase noise,1
vco,1
smith predictors,1
smith predictor,1
proportional control systems,1
feedforward control,1
nonholonomic systems,1
nonholonomic system,1
submersibles,1
robot learning,1
collision avoidance,1
obstacle avoidance,1
collision detection,1
obstacle detectors,1
obstacle detection,1
anti-collision algorithms,1
tag identification,1
anti-collision,1
anticollision,1
dynamic environments,1
dynamic environment,1
inverse kinematics,1
motion editing,1
screw theory,1
parallel robots,1
parallel robot,1
parallel mechanisms,1
singularity analysis,1
singularity,1
parallel mechanism,1
parallel manipulators,1
parallel manipulator,1
jacobian matrices,1
jacobians,1
jacobian,1
jacobian matrix,1
intelligent materials,1
autonomous navigation,1
dead reckoning,1
pedestrian navigation,1
strap-down inertial navigation systems,1
initial alignment,1
range finders,1
range finding,1
ranging,1
telepresence,1
simultaneous localization and mapping,1
simultaneous localization and mapping (slam),1
haptic interfaces,1
mice (computer peripherals),1
vibrotactile,1
tactile display,1
tactile displays,1
computer keyboards,1
facial action coding system,1
facial action,1
tactile feedback,1
haptic interactions,1
haptic interaction,1
haptic,1
haptics,1
haptic feedbacks,1
haptic feedback,1
haptic devices,1
haptic device,1
virtual objects,1
augmented reality systems,1
virtual prototyping,1
virtual prototype,1
haptic interface,1
non-holonomic mobile robots,1
nonholonomic mobile robots,1
robotic applications,1
robotic systems,1
robotic platforms,1
robot system,1
robot controls,1
robot control,1
visual odometry,1
acoustic generators,1
sound source localization,1
smart grid,1
smart grids,1
acoustic wave scattering,1
autonomous vehicles,1
autonomous vehicle,1
microphone arrays,1
acoustic sources,1
acoustic source localization,1
acoustic arrays,1
multi-beam,1
multibeam antennas,1
generalized sidelobe cancellers,1
generalized sidelobe canceller,1
microphone array,1
tele-operation,1
telerobotics,1
tele-robotics,1
teleoperation,1
tele-operations,1
autonomous underwater vehicle (auv),1
underwater equipment,1
underwater vehicles,1
underwater vehicle,1
underwater sensor networks,1
autonomous underwater vehicle,1
autonomous underwater vehicles,1
virtual agent,1
virtual agents,1
situation awareness,1
cognitive architectures,1
cognitive architecture,1
fuzzy cognitive map,1
fuzzy cognitive maps,1
cognitive process,1
cognitive processes,1
cognitive modeling,1
cognitive model,1
cognitive models,1
cognitive network,1
cognitive networks,1
cognitive radio,1
cognitive radio networks (crns),1
interference constraints,1
interference power,1
dynamic spectrum allocations,1
dynamic spectrum allocation,1
cooperative relay,1
decode-and-forward,1
decode-and-forward (df),1
channel access,1
ieee 802.11 standards,1
ieee 802.11 dcf,1
ieee 802.11 mac,1
back-off,1
backoff algorithms,1
backoff algorithm,1
doherty power amplifier,1
doherty,1
backoff,1
handoff latency,1
distributed coordination function (dcf),1
distributed coordination functions,1
hidden terminal problems,1
hidden terminal,1
ieee 802.11,1
ieee 802.11s,1
channel utilization,1
cognitive radio network (crn),1
cognitive radio network,1
cognitive radio networks,1
transmit power,1
radio resources,1
control channels,1
multi-channel mac protocols,1
control channel,1
channel state information,1
limited feedback,1
feedback overhead,1
csi feedback,1
mu-mimo,1
precoding scheme,1
precoders,1
precoder,1
imperfect channel state information,1
perfect channel state information,1
relay selection,1
two-way relay,1
two-way relaying,1
cooperative networks,1
cooperative relaying,1
relaying schemes,1
amplify-and-forward relaying,1
outage performance,1
wireless relay networks,1
ergodic capacity,1
multiplexing gains,1
diversity-multiplexing trade-off,1
diversity-multiplexing tradeoff,1
relay system,1
mimo relay,1
channel estimation errors,1
channel estimation error,1
multi-user mimo,1
multi-user mimo systems,1
block diagonalization,1
user selection,1
multiuser mimo,1
linear pre-coding,1
linear precoding,1
wiretap channel,1
secrecy capacity,1
physical layer security,1
information-theoretic security,1
information theoretic security,1
wire-tap channels,1
achievable rate,1
amplify-and-forward,1
relay channels,1
half-duplex,1
full-duplex,1
achievable rate region,1
relay channel,1
ieee 802.16j,1
two sources,1
cooperative systems,1
co-operative systems,1
amplify-and-forward (af),1
precoding,1
zero-forcing,1
zero-forcing beam-forming,1
zero-forcing beamforming,1
zero forcing,1
sum-rate,1
gaussian interference channels,1
sum rate,1
interference alignment,1
coordinated multi point (comp),1
coordinated multi points,1
power constraints,1
antenna selection,1
spatial multiplexing,1
broadcast channels,1
capacity regions,1
super-position coding,1
superposition coding,1
capacity region,1
broadcast channel,1
interference channels,1
interference channel,1
multicell,1
cell edges,1
inter-cell interference coordination,1
interference co-ordination,1
interference coordination,1
multi-cell,1
mimo channel,1
mimo channels,1
multi-antenna,1
channel state information (csi),1
stackelberg games,1
whole sale prices,1
stackelberg game,1
cooperative communication,1
cooperative transmission,1
relay node,1
multi-hop relay,1
cooperative diversity,1
symbol error rate (ser),1
symbol error rates,1
co-operative diversity,1
cooperative communications,1
radio systems,1
vertical handovers,1
media independent handover,1
mih,1
vertical handover,1
wireless networks,1
stochastic geometry,1
transmission capacities,1
transmission capacity,1
mobility management,1
location management,1
location update,1
proxy mobile ipv6,1
handover latency,1
network mobility,1
nemo,1
vertical handoff,1
mobile ipv6,1
route optimization,1
fast handovers,1
fast handover,1
handover performance,1
handover delay,1
mobile ip,1
mipv6,1
hmipv6,1
radio resource management,1
transmission power,1
time slots,1
carrier sense multiple access,1
csma/ca,1
contention window,1
rts/cts,1
ieee 802.15.4 standards,1
access network,1
optical access networks,1
optical network units,1
optical access network,1
wdm-pon,1
passive optical networks,1
dynamic bandwidth allocation,1
ethernet passive optical networks,1
epon,1
10 gb/ s,1
passive optical network,1
passive optical network (pon),1
access networks,1
wi-fi,1
access points,1
vehicular networks,1
vehicular network,1
access point,1
wifi,1
mobile service,1
mobile services,1
heterogeneous wireless network,1
heterogeneous network environments,1
femto-cells,1
femtocell,1
femtocells,1
interference management,1
heterogeneous network (hetnet),1
heterogeneous networks,1
heterogeneous network,1
heterogeneous wireless networks,1
mobile environments,1
mobile environment,1
transmission ranges,1
transmission range,1
multihop wireless networks,1
multihop networks,1
multi-hop networks,1
multihop wireless network,1
multi-hop wireless networks,1
delay-tolerant network,1
dtn,1
message delivery,1
delivery ratio,1
mobility pattern,1
opportunistic networks,1
opportunistic network,1
delay-tolerant networks,1
delay tolerant networks,1
delay tolerant network,1
mac layer,1
opportunistic routing,1
vehicular environments,1
multiple access,1
sc-fdma,1
wireless channel,1
channel conditions,1
rate adaptation,1
relay stations,1
dropping probability,1
ieee802.11e,1
enhanced distributed channel access,1
edca,1
ieee 802.11e,1
utility maximizations,1
utility maximization,1
call admission control,1
call admission control (cac),1
transport layers,1
transport layer,1
wimax systems,1
subscriber stations,1
ieee 802.16 standards,1
wimax networks,1
link layers,1
link layer,1
wireless nodes,1
wireless link,1
frequency re-use,1
frequency reuse,1
ieee 802.16,1
broadband wireless accesss,1
broadband wireless access,1
ieee802.16,1
packet loss rates,1
packet loss rate,1
sctp,1
3g,1
3g networks,1
mobile adhoc network (manets),1
ad hoc on demand distance vector,1
aodv protocols,1
aodv routing protocol,1
olsr,1
optimized link state routing,1
high mobility,1
mobility model,1
mobility models,1
packet delivery ratio,1
packet delivery,1
dsr,1
dynamic source routing,1
location services,1
location service,1
mobile ad hoc networks (manets),1
mobile ad hoc networks (manet),1
selfish node,1
selfish nodes,1
route discovery,1
trust management,1
trust evaluation,1
cloud services,1
cloud service,1
geographic routing,1
aodv,1
ad hoc routing protocol,1
safety applications,1
multiple-path,1
mobile ad-hoc networks,1
mobile ad-hoc network,1
mobile ad hoc networks,1
mobile ad hoc network,1
qos routing,1
quality of service routing,1
source nodes,1
destination nodes,1
topology control,1
blocking probability,1
routing and wavelength assignment,1
lightpaths,1
lightpath,1
routing and wavelength assignment (rwa),1
optical burst switching,1
obs networks,1
optical buffer,1
optical packet switching,1
optical burst switching (obs),1
call blocking probabilities,1
call blocking probability,1
all-optical networks,1
wavelength assignment,1
traffic grooming,1
survivability,1
p-cycles,1
wavelength converter,1
wavelength converters,1
control planes,1
control plane,1
non-cooperative,1
mobile antennas,1
satellite antennas,1
distributed antenna system,1
distributed antenna systems,1
planar inverted-f antenna,1
directive antennas,1
omnidirectional antennas,1
omni-directional antenna,1
antenna grounds,1
low profile,1
axial ratio,1
uwb applications,1
circularly polarized,1
antenna design,1
dual-band,1
insulating materials,1
location information,1
location privacy,1
group members,1
sms,1
utility functions,1
utility function,1
end to end delay,1
end-to-end delay,1
mobile nodes,1
mobile node,1
handover,1
hand over,1
bandwidth allocation,1
bandwidth allocations,1
mobile terminal,1
mobile terminals,1
mobile sensor networks,1
mobile sensor network,1
mobile networks,1
mobile network,1
ims,1
ip multimedia subsystem (ims),1
ip multimedia subsystems,1
ip multimedia subsystem,1
iptv services,1
sip,1
session initiation protocol (sip),1
session initiation protocol,1
session initiation protocols,1
next generation network,1
ultra wideband,1
ultra-wideband communications,1
mb-ofdm,1
multi-band orthogonal frequency division multiplex,1
uwb pulse,1
uwb radars,1
uwb channel,1
narrow band interference,1
uwb antenna,1
uwb antennas,1
ultrawideband systems,1
ultra wide band systems,1
monopole antennas,1
monopole antenna,1
impulse radio (ir),1
ieee 802.15.4a,1
impulse radio,1
impulse radios,1
uwb communication system,1
uwb system,1
uwb signals,1
microstripes,1
microstrip filters,1
microstrip lines,1
microstrip,1
wireless body area network,1
on-body,1
wireless body area networks,1
multi-user interference,1
multiuser interference,1
coplanar waveguides,1
coplanar waveguide,1
impedance bandwidths,1
impedance bandwidth,1
ultra-wideband (uwb),1
ultra-wideband,1
turbo-coded,1
tanner graphs,1
interleavers,1
interleaver,1
exit-charts,1
exit chart,1
bit interleaved coded modulation,1
bit-interleaved coded modulation (bicm),1
turbo equalization,1
turbo equalizations,1
concatenated codes,1
mc-cdma systems,1
quasi-cyclic,1
low density parity check,1
error floor,1
iterative receivers,1
iterative receiver,1
turbo codes,1
turbo code,1
wide area,1
contention-based,1
tcp performance,1
network virtualization,1
substrate networks,1
virtual node,1
multimedia streaming,1
wireless mesh,1
multi-radio,1
td-scdma,1
frequency hopping,1
wireless,1
system level simulation,1
4g mobile communication systems,1
carrier aggregations,1
carrier aggregation,1
ieee 802.11 networks,1
anycast,1
cellular system,1
cellular arrays,1
cellular systems,1
secure group communications,1
secure group communication,1
satellite network,1
satellite networks,1
application layers,1
application layer,1
channel assignment,1
channel assignments,1
network congestions,1
network congestion,1
short message services,1
short message service (sms),1
underwater acoustic networks,1
optimal power allocation,1
optimal power,1
multiuser diversity,1
multi-user diversity,1
mesh network,1
mesh networks,1
round-trip time,1
round trip time,1
radio channels,1
radio channel,1
mean opinion scores,1
mean opinion score,1
streaming videos,1
streaming video,1
channel model,1
channel models,1
underwater acoustic channels,1
underwater acoustic communications,1
underwater acoustic communication,1
security challenges,1
adaptive modulation and coding,1
adaptive modulation and coding (amc),1
gaussian channels,1
gaussian channel,1
optical wireless,1
wireless network,1
ad-hoc networks,1
malicious nodes,1
adaptive routing,1
multicomputers,1
routing metrics,1
routing metric,1
vehicular ad hoc networks,1
number of vehicles,1
vehicle to vehicle communications,1
vehicle to vehicles,1
vehicle-to-infrastructure,1
vehicle-to-vehicle communication,1
vanets,1
vanet,1
vehicle transmissions,1
variable speed transmissions,1
vehicular adhoc networks (vanets),1
broadcast,1
directional antenna,1
directional antennas,1
sensor networks,1
hybrid sensors,1
wsn,1
key management,1
key distribution,1
key establishments,1
key establishment,1
key pre-distribution,1
key predistribution,1
group key,1
group key agreement,1
group key agreement protocols,1
secure multicasts,1
secure multicast,1
group key management,1
session key,1
authenticated key exchange,1
impersonation attack,1
ieee 802.15.4,1
wireless personal area networks,1
residual energy,1
node localization,1
node failure,1
energy aware,1
energy-aware,1
wireless sensor node,1
wireless sensor nodes,1
zigbee,1
zig-bee,1
mobile sinks,1
mobile sink,1
save energy,1
saving energy,1
microsensors,1
design theory and methodology,1
nanosystems,1
mobile wireless sensor network,1
mobile wireless sensor networks,1
energy-constrained,1
energy constraint,1
network lifetime,1
manet,1
energy policy,1
energy market,1
energy markets,1
time synchronization,1
mechanical clocks,1
sleep mode,1
multihop,1
multi-hop,1
data aggregation,1
data gathering,1
self organizing,1
self-organizing,1
cluster-based,1
cluster heads,1
cluster head,1
cluster-heads,1
ambient assisted living,1
distributed source coding,1
slepian-wolf,1
slepian-wolf coding,1
spatial correlations,1
temporal correlations,1
temporal correlation,1
spatial correlation,1
physical layers,1
physical layer,1
sensor network,1
multicast routing,1
routing table,1
unstructured p2p,1
unstructured peer-to-peer,1
mac,1
wireless sensor network (wsns),1
clock synchronization,1
ad hoc networks,1
mac protocol,1
wireless sensor networks (wsns),1
ad hoc network,1
mac protocols,1
wireless sensor network (wsn),1
media access control,1
media access control (mac),1
dijkstra algorithms,1
dijkstra algorithm,1
routing scheme,1
routing path,1
communication protocols,1
communication protocol,1
internet of thing (iot),1
machine to machines,1
machine-to-machine (m2m),1
internet of things,1
internet of things (iot),1
medium access control protocols,1
time division multiple access,1
intersymbol interference,1
intersymbol interference (isi),1
wireless sensor networks,1
wireless sensor network,1
frequency division multiple access,1
time division multiple access (tdma),1
slotted aloha,1
dereverberation,1
medium access control(mac),1
medium access control,1
medium access control (mac),1
wireless mesh networks (wmns),1
mesh networking,1
mesh topologies,1
mesh topology,1
wireless mesh networks (wmn),1
wireless mesh networks,1
wireless mesh network,1
analytical results,1
low power consumption,1
low-power consumption,1
multi-path routing,1
disjoint paths,1
backup path,1
multi path routing,1
multipath routing,1
bandwidth estimation,1
dispersion compensation,1
location based,1
location-based,1
software radio,1
sdr,1
filter banks,1
biorthogonal,1
filter bank,1
spectrum allocation,1
cognitive radio (cr),1
fusion rule,1
outages,1
outage,1
multi-carrier,1
single carrier,1
frequency domain equalization,1
frequency-domain equalization,1
single-carrier,1
multicarrier,1
multi carrier,1
generalized likelihood ratio test (glrt),1
adaptive detection,1
generalized likelihood-ratio tests,1
generalized likelihood ratio test,1
spectrum management,1
spectrum sharing,1
spectrum usage,1
spectrum utilization,1
spectrum holes,1
spectrum bands,1
soft computing,1
neuro-fuzzy,1
neuro-fuzzy systems,1
neurofuzzy system,1
neuro-fuzzy system,1
logic programming,1
programming theory,1
distributed video coding,1
mode decision,1
fast mode decision,1
intra prediction,1
intra prediction modes,1
fast mode decision algorithm,1
bit stream,1
bitstreams,1
gaussian sources,1
video coding,1
hevc,1
video coding standard,1
encoding time,1
